Day,Date,Open,High,Low,Close,Adj Close,Volume
190, 1/10/2020 ,213.490005,213.990005,211.320007,212.460007,209.222809,27158400
191, 2/10/2020 ,208,210.990005,205.539993,206.190002,203.048355,33154800
192, 5/10/2020 ,207.220001,210.410004,206.979996,210.380005,207.1745,21331600
193, 6/10/2020 ,208.820007,210.179993,204.820007,205.910004,202.772644,28554300
194, 7/10/2020 ,207.059998,210.110001,206.720001,209.830002,206.632889,25681100
195, 8/10/2020 ,210.509995,211.190002,208.320007,210.580002,207.37146,19925800
196, 9/10/2020 ,211.229996,215.860001,211.229996,215.809998,212.521759,26458000
197, 12/10/2020,218.789993,223.860001,216.809998,221.399994,218.026596,40461400
198, 13/10/2020,222.720001,225.210007,220.429993,222.860001,219.464355,28950800
199, 14/10/2020,223,224.220001,219.130005,220.860001,217.494797,23421700
200, 15/10/2020,217.100006,220.360001,216.009995,219.660004,216.313095,22733100
201, 16/10/2020,220.149994,222.289993,219.320007,219.660004,216.313095,26057900
202, 19/10/2020,220.419998,222.300003,213.720001,214.220001,210.955978,27625800
203, 20/10/2020,215.800003,217.369995,213.089996,214.649994,211.37941,22753500
204, 21/10/2020,213.119995,216.919998,213.119995,214.800003,211.527161,22724900
205, 22/10/2020,213.929993,216.059998,211.699997,214.889999,211.615784,22351500
206, 23/10/2020,215.029999,216.279999,213.160004,216.229996,212.935364,18879600
207, 26/10/2020,213.850006,216.339996,208.100006,210.080002,206.879059,37111600
208, 27/10/2020,211.589996,214.669998,210.330002,213.25,210.000778,36700300
209, 28/10/2020,207.669998,208.839996,202.100006,202.679993,199.591797,51195600
210, 29/10/2020,204.070007,207.360001,203.369995,204.720001,201.600754,31432600
211, 30/10/2020,203.5,204.289993,199.619995,202.470001,199.38504,36953700
212, 2/11/2020 ,204.289993,205.279999,200.119995,202.330002,199.247162,30842200
213, 3/11/2020 ,203.889999,208.119995,203.119995,206.429993,203.284668,27512000
214, 4/11/2020 ,214.020004,218.320007,212.419998,216.389999,213.092926,42311800
215, 5/11/2020 ,222.039993,224.119995,221.149994,223.289993,219.887787,36080100
216, 6/11/2020 ,222.259995,224.360001,218.029999,223.720001,220.311234,25231900
217, 9/11/2020 ,224.440002,228.119995,217.880005,218.389999,215.062454,44395000
218, 10/11/2020,214.5,216.5,209.720001,211.009995,207.794907,44045100
219, 11/11/2020,212.389999,218.039993,212.199997,216.550003,213.250519,29440800
220, 12/11/2020,217.210007,219.110001,214.460007,215.440002,212.157394,21593900
221, 13/11/2020,216.360001,217.419998,214.160004,216.509995,213.21109,18621100
222, 16/11/2020,214.869995,217.740005,214.520004,217.229996,213.92012,24953300
223, 17/11/2020,216.100006,217.679993,214.080002,214.460007,211.192322,24154100
224, 18/11/2020,213.649994,215.169998,210.929993,211.080002,208.408051,28372800
225, 19/11/2020,211.380005,213.029999,209.929993,212.419998,209.731064,24792700
226, 20/11/2020,212.199997,213.289993,210,210.389999,207.726761,22843100
227, 23/11/2020,210.949997,212.289993,208.160004,210.110001,207.450333,25683500
228, 24/11/2020,209.589996,214.25,208.860001,213.860001,211.152847,33979700
229, 25/11/2020,215.110001,215.289993,212.460007,213.869995,211.162704,21012900
230, 27/11/2020,214.850006,216.270004,214.039993,215.229996,212.505493,14512200
231, 30/11/2020,214.100006,214.759995,210.839996,214.070007,211.360184,33064800
232, 1/12/2020 ,214.509995,217.320007,213.350006,216.210007,213.473099,30904500
233, 2/12/2020 ,214.880005,215.470001,212.800003,215.369995,212.643707,23724500
234, 3/12/2020 ,214.610001,216.380005,213.649994,214.240005,211.528061,25120900
235, 4/12/2020 ,214.220001,215.380005,213.179993,214.360001,211.646515,24666000
236, 7/12/2020 ,214.369995,215.539993,212.990005,214.289993,211.577377,24620000
237, 8/12/2020 ,213.970001,216.949997,212.889999,216.009995,213.275604,23284100
238, 9/12/2020 ,215.160004,215.229996,211.210007,211.800003,209.118927,32440600
239, 10/12/2020,211.770004,213.080002,210.360001,210.520004,207.855133,26733300
240, 11/12/2020,210.050003,213.320007,209.110001,213.259995,210.56044,30979400
241, 14/12/2020,213.100006,216.210007,212.880005,214.199997,211.488556,28798400
242, 15/12/2020,215.169998,215.419998,212.240005,214.130005,211.419418,27000600
243, 16/12/2020,214.75,220.110001,214.720001,219.279999,216.504242,35023300
244, 17/12/2020,219.869995,220.889999,217.919998,219.419998,216.642471,32515800
245, 18/12/2020,218.589996,219.690002,216.020004,218.589996,215.822952,63354900
246, 21/12/2020,217.550003,224,217.279999,222.589996,219.772324,37181900
247, 22/12/2020,222.690002,225.630005,221.850006,223.940002,221.105255,22612200
248, 23/12/2020,223.110001,223.559998,220.800003,221.020004,218.222214,18699600
249, 24/12/2020,221.419998,223.610001,221.199997,222.75,219.930298,10550600
250, 28/12/2020,224.449997,226.029999,223.020004,224.960007,222.11235,17933500
251, 29/12/2020,226.309998,227.179993,223.580002,224.149994,221.312576,17403200
252, 30/12/2020,225.229996,225.630005,221.470001,221.679993,218.873856,20272300
253, 31/12/2020,221.699997,223,219.679993,222.419998,219.604477,20942100
254, 4/1/2021  ,222.529999,223,214.809998,217.690002,214.934372,37130100
255, 5/1/2021  ,217.259995,218.520004,215.699997,217.899994,215.141693,23823000
256, 6/1/2021  ,212.169998,216.490005,211.940002,212.25,209.563217,35930700
257, 7/1/2021  ,214.039993,219.339996,213.710007,218.289993,215.526779,27694500
258, 8/1/2021  ,218.679993,220.580002,217.029999,219.619995,216.83992,22956200
259, 11/1/2021 ,218.470001,218.910004,216.729996,217.490005,214.736908,23031300
260, 12/1/2021 ,216.5,217.100006,213.320007,214.929993,212.20929,23249300
261, 13/1/2021 ,214.020004,216.759995,213.929993,216.339996,213.60144,20087100
262, 14/1/2021 ,215.910004,217.460007,212.740005,213.020004,210.323471,29480800
263, 15/1/2021 ,213.520004,214.509995,212.029999,212.649994,209.95813,31746500
