Date,Property_Type,Project_Name,Unit_Price,Area
Apr-21,Detached House,LANDED HOUSING DEVELOPMENT,1047.00,5999.85
Apr-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1674.00,2317.49
Apr-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1152.00,4321.75
Apr-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1525.00,2820.17
Apr-21,Terrace House,LANDED HOUSING DEVELOPMENT,1007.00,4321.75
Apr-21,Terrace House,YONG SENG ESTATE,1323.00,1889.08
Apr-21,Terrace House,LANDED HOUSING DEVELOPMENT,835.00,2993.47
Apr-21,Terrace House,LANDED HOUSING DEVELOPMENT,1471.00,2361.62
Apr-21,Terrace House,LANDED HOUSING DEVELOPMENT,1981.00,1706.09
Apr-21,Terrace House,LANDED HOUSING DEVELOPMENT,1486.00,1345.50
May-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1153.00,5117.21
May-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1217.00,4356.19
May-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1060.00,3848.13
May-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1461.00,3717.89
May-21,Terrace House,LANDED HOUSING DEVELOPMENT,1078.00,2978.40
May-21,Terrace House,LANDED HOUSING DEVELOPMENT,1431.00,1712.55
May-21,Terrace House,LANDED HOUSING DEVELOPMENT,1494.00,1934.29
May-21,Terrace House,LANDED HOUSING DEVELOPMENT,1354.00,1883.70
May-21,Terrace House,LANDED HOUSING DEVELOPMENT,1518.00,1494.04
May-21,Terrace House,LANDED HOUSING DEVELOPMENT,1575.00,1668.42
May-21,Terrace House,SARINA TERRACE,1583.00,1781.44
Jun-21,Detached House,LANDED HOUSING DEVELOPMENT,1086.00,6724.27
Jun-21,Detached House,LANDED HOUSING DEVELOPMENT,890.00,8427.14
Jun-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1110.00,4404.63
Jun-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1933.00,2846.00
Jun-21,Terrace House,LANDED HOUSING DEVELOPMENT,1472.00,1399.32
Jun-21,Terrace House,YONG SENG ESTATE,1429.00,1889.08
Jun-21,Terrace House,LANDED HOUSING DEVELOPMENT,2427.00,1792.21
Jun-21,Terrace House,KIMNAN PARK,1214.00,2569.37
Jun-21,Terrace House,KEMBANGAN VILLAS,1410.00,2822.32
Jun-21,Terrace House,LANDED HOUSING DEVELOPMENT,1347.00,2337.94
Jun-21,Terrace House,LANDED HOUSING DEVELOPMENT,1477.00,2026.86
Jun-21,Terrace House,LANDED HOUSING DEVELOPMENT,1574.00,2023.63
Jul-21,Detached House,LANDED HOUSING DEVELOPMENT,1587.00,4787.83
Jul-21,Detached House,LANDED HOUSING DEVELOPMENT,1609.00,4637.13
Jul-21,Detached House,LANDED HOUSING DEVELOPMENT,1276.00,4999.88
Jul-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1203.00,3822.30
Jul-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1521.00,4011.74
Jul-21,Semi-Detached House,KIMNAN PARK,1529.00,3369.13
Jul-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1124.00,3870.73
Jul-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1224.00,3390.66
Jul-21,Semi-Detached House,KEMBANGAN ESTATE,1023.00,3743.72
Jul-21,Terrace House,SARINA TERRACE,2213.00,1784.67
Jul-21,Terrace House,LANDED HOUSING DEVELOPMENT,1487.00,2454.19
Jul-21,Terrace House,KIMNAN PARK,1294.00,1739.46
